,City,Colors Reported,Shape Reported,State,Time
13840,Johnson City,Red,LIGHT,TN,7/4/1999 0:00
13841,Fremont,RED,CIRCLE,OH,7/4/1999 11:00
13842,Sacramento,Red,OTHER,CA,7/4/1999 15:30
13843,Arcadia,RED,LIGHT,CA,7/4/1999 21:00
13844,Culver City,Red,OTHER,CA,7/4/1999 21:00
13845,Pine Ridge,YELLOW,LIGHT,SD,7/4/1999 21:00
13846,Dillard,Red,FLASH,GA,7/4/1999 21:30
13847,Lackawanna,RED,DIAMOND,NY,7/4/1999 21:30
13848,Lackawanna,RED,OTHER,NY,7/4/1999 21:30
13849,Northport,Red,LIGHT,AL,7/4/1999 21:30
13850,Little Rock,RED,LIGHT,AR,7/4/1999 21:50
13851,Millstadt,Red,LIGHT,IL,7/4/1999 22:00
13852,Pauls Valley,Red,SPHERE,OK,7/4/1999 22:00
13853,Humboldt,Red,LIGHT,IA,7/4/1999 23:00
13854,Mount Pleasant,ORANGE,CIGAR,SC,7/4/1999 23:00
13855,Fort Bidwell,Red,LIGHT,CA,7/4/1999 23:30
13856,Lovingston,Red,LIGHT,VA,7/4/1999 23:45
13857,Wachapreague,Red,CIGAR,VA,7/4/1999 23:59
13858,Morgantown,Red,VARIOUS,PA,7/5/1999 0:05
13859,Knotts Island,Red,LIGHT,NC,7/5/1999 0:07
13860,State College,Red,OTHER,PA,7/5/1999 0:15
13861,Virginia Beach,Red,LIGHT,VA,7/5/1999 0:15
13862,Annapolis,YELLOW,FIREBALL,MD,7/5/1999 0:30
13863,Peabels,Red,LIGHT,OH,7/5/1999 1:00
13864,Chicago,Red,CIGAR,IL,7/5/1999 15:00
13865,East Hoquiam,Red,LIGHT,WA,7/5/1999 23:00
13866,Cranston,Red,EGG,RI,7/6/1999 0:00
13867,Rochester,Red,EGG,WA,7/6/1999 11:15
13868,Tacoma,Red,CIGAR,WA,7/6/1999 14:23
13869,Yakima,Red,SPHERE,WA,7/6/1999 14:30
13870,Newton,Red,SPHERE,IA,7/6/1999 20:30
13871,Omaha,Red,TRIANGLE,NE,7/6/1999 22:00
13872,Stokes County,Red,CHEVRON,NC,7/6/1999 22:30
13873,Pasco,Red,FLASH,WA,7/6/1999 22:40
13874,Kaukauna,RED,TRIANGLE,WI,7/6/1999 22:50
13875,North Hampton,Red,LIGHT,NH,7/7/1999 2:30
13876,San Jose,Red,LIGHT,CA,7/7/1999 3:00
13877,Barrington Hills,Red,LIGHT,IL,7/7/1999 3:52
13878,Loomis,Red,LIGHT,CA,7/7/1999 4:15
13879,Lisbon,Red,LIGHT,OH,7/7/1999 11:23
13880,Woods Hole,Red,DISK,MA,7/7/1999 12:30
13881,Seattle,Red,LIGHT,WA,7/7/1999 16:30
13882,Charlotte,Red,VARIOUS,NC,7/7/1999 21:00
13883,Tampa,Red,FIREBALL,FL,7/7/1999 21:30
13884,Bald Eagle Lake,GREEN,FIREBALL,MN,7/7/1999 23:00
13885,Jeromesville,Red,FLASH,OH,7/7/1999 23:05
13886,Des Moines,Red,LIGHT,IA,7/7/1999 23:15
13887,Grissom AFB,Red,EGG,IN,7/7/1999 23:39
13888,Plymouth,Red,CIRCLE,WI,7/8/1999 10:25
13889,Crown Point,Red,OTHER,IN,7/8/1999 13:15
13890,Pottstown,BLUE,SPHERE,PA,7/8/1999 21:45
13891,Sheridan,RED BLUE,TRIANGLE,IN,7/8/1999 22:00
13892,Salem,Red,VARIOUS,OR,7/8/1999 22:21
13893,Healdsburg,ORANGE,LIGHT,CA,7/8/1999 22:30
13894,Ledyard,Red,LIGHT,CT,7/8/1999 22:30
13895,Colonial Heights,Red,LIGHT,VA,7/8/1999 22:35
13896,Mentor,Red,SPHERE,OH,7/9/1999 15:00
13897,Trinidad,Red,FIREBALL,CO,7/9/1999 20:00
13898,Seattle,Red,LIGHT,WA,7/9/1999 20:35
13899,Stone Mountain,Red,LIGHT,GA,7/9/1999 21:40
13900,Spring,Red,LIGHT,TX,7/9/1999 22:15
13901,Woodburn,Red,FIREBALL,OR,7/9/1999 22:45
13902,Cascade,Red,LIGHT,ID,7/9/1999 23:00
13903,Seabeck,Red,OTHER,WA,7/9/1999 23:30
13904,Columbus,Red,LIGHT,OH,7/10/1999 0:55
13905,Vancouver,ORANGE,CIRCLE,WA,7/10/1999 0:55
13906,Omaha,Red,TEARDROP,NE,7/10/1999 7:20
13907,San Diego,Red,SPHERE,CA,7/10/1999 15:00
13908,Tucson,Red,EGG,AZ,7/10/1999 17:10
13909,Portland,Red,CIGAR,OR,7/10/1999 18:00
13910,Green Acres,Red,FIREBALL,OR,7/10/1999 22:00
13911,Dousman,Red,SPHERE,WI,7/10/1999 22:30
13912,Seattle,RED BLUE,LIGHT,WA,7/10/1999 22:30
13913,Newberg,RED,CIRCLE,OR,7/10/1999 22:45
13914,New York City,Red,LIGHT,NY,7/11/1999 4:30
13915,Baileys Cross Roads,Red,OVAL,VA,7/11/1999 17:30
13916,Sayreville,ORANGE,OVAL,NJ,7/11/1999 18:30
13917,Manassas,Red,SPHERE,VA,7/11/1999 22:00
13918,Grandview,Red,FLASH,WA,7/11/1999 23:00
13919,Nicholasville,Red,TRIANGLE,KY,7/11/1999 23:20
13920,Nicholasville,Red,LIGHT,KY,7/11/1999 23:40
13921,Santa Cruz,Red,CIRCLE,CA,7/12/1999 1:10
13922,Canterbury,RED ORANGE,CIRCLE,NH,7/12/1999 1:30
13923,Arlington,Red,LIGHT,TX,7/12/1999 10:15
13924,Chico,Red,LIGHT,CA,7/12/1999 22:10
13925,Lake Oswego,Red,LIGHT,OR,7/12/1999 22:15
13926,Elko,Red,OTHER,NV,7/12/1999 23:00
13927,Chautaqua Road,Red,EGG,NY,7/12/1999 23:17
13928,Reynoldsburg,Red,SPHERE,OH,7/12/1999 23:30
13929,Livingston,Red,SPHERE,IL,7/13/1999 3:15
13930,New Roads,Red,TRIANGLE,LA,7/13/1999 7:45
13931,Morton Grove,Red,FIREBALL,IL,7/13/1999 12:30
13932,Tacoma,Red,CIGAR,WA,7/13/1999 18:00
13933,New Rochelle,Red,CIRCLE,NY,7/13/1999 19:30
13934,Missoula,Red,CIGAR,MT,7/13/1999 22:50
13935,Springfield,Red,LIGHT,MA,7/14/1999 1:35
13936,Weidman,Red,LIGHT,MI,7/14/1999 4:00
13937,Rochester Hills,Red,LIGHT,MI,7/14/1999 4:53
13938,Blyville,Red,OTHER,AR,7/14/1999 17:00
13939,Monument Valley,GREEN,FLASH,UT,7/14/1999 22:23
13940,Deer Park,Red,DISK,NY,7/14/1999 23:00
13941,Cleveland,Red,FIREBALL,WI,7/14/1999 23:50
13942,Guerneville,Red,FORMATION,CA,7/15/1999 1:00
13943,Mosier,Red,LIGHT,OR,7/15/1999 1:00
13944,Naperville,Red,LIGHT,IL,7/15/1999 2:00
13945,Somerville,Red,OTHER,TX,7/15/1999 2:00
13946,Reedsville,Red,LIGHT,WV,7/15/1999 3:00
13947,Ontario,Red,SPHERE,NY,7/15/1999 3:30
13948,Paddock Lake,ORANGE,DISK,WI,7/15/1999 4:15
13949,Boulder,Red,OVAL,CO,7/15/1999 15:00
13950,Atlanta,Red,SPHERE,GA,7/15/1999 16:00
13951,West Bend,Red,EGG,WI,7/15/1999 17:05
13952,Oxford,Red,DISK,ME,7/15/1999 19:00
13953,San Jose,GREEN,FIREBALL,CA,7/15/1999 21:00
13954,Charlotte,BLUE,VARIOUS,NC,7/15/1999 21:50
13955,Independence,Red,LIGHT,MO,7/15/1999 21:55
13956,La Farge,ORANGE,FIREBALL,WI,7/15/1999 22:00
13957,Houston,Red,SPHERE,TX,7/15/1999 22:15
13958,Mallets Bay,Red,TEARDROP,VT,7/15/1999 22:15
13959,Carmel,Red,TRIANGLE,IN,7/15/1999 23:00
13960,Southern Utah,GREEN,FIREBALL,UT,7/15/1999 23:30
13961,Birmingham,Red,SPHERE,AL,7/16/1999 0:00
13962,Highland,Red,RECTANGLE,CA,7/16/1999 14:30
13963,Bouse,RED YELLOW,OTHER,AZ,7/16/1999 20:00
13964,Acworth,Red,TRIANGLE,GA,7/16/1999 20:30
13965,Temecula,Red,TRIANGLE,CA,7/16/1999 21:00
13966,Straughn,Red,LIGHT,IN,7/16/1999 22:00
13967,Bayfield,RED,SPHERE,WI,7/16/1999 23:50
13968,North Bowers Beach,Red,LIGHT,DE,7/17/1999 0:00
13969,Lemon Cove,Red,DISK,CA,7/17/1999 13:15
13970,Sewell,Red,TRIANGLE,NJ,7/17/1999 22:00
13971,Sewell,RED,TRIANGLE,NJ,7/17/1999 22:00
13972,Hatton,ORANGE,SPHERE,WA,7/17/1999 22:30
13973,Sandusky,GREEN,SPHERE,OH,7/17/1999 23:00
13974,Atlantic Ocean,Red,LIGHT,NJ,7/18/1999 0:00
13975,Columbus,Red,LIGHT,OH,7/18/1999 1:00
13976,Malta,Red,LIGHT,NY,7/18/1999 1:00
13977,Jacksonville,RED,FLASH,FL,7/18/1999 2:00
13978,Escondido,ORANGE,FIREBALL,CA,7/18/1999 4:10
13979,East Springfield,ORANGE,CIRCLE,PA,7/18/1999 4:15
13980,San Antonio,Red,LIGHT,TX,7/18/1999 5:04
13981,Chino Hills,Red,FLASH,CA,7/18/1999 11:45
13982,York,ORANGE,DISK,PA,7/18/1999 16:00
13983,La Grande,Red,VARIOUS,OR,7/18/1999 21:10
13984,Porterville,Red,LIGHT,CA,7/18/1999 21:30
13985,Blythe,Red,LIGHT,CA,7/18/1999 22:00
13986,Claremont,Red,TRIANGLE,CA,7/18/1999 22:00
13987,Houston,Red,CIRCLE,TX,7/18/1999 22:30
13988,Pound Ridge,Red,SPHERE,NY,7/18/1999 22:30
13989,Robbins,ORANGE,CIRCLE,TX,7/18/1999 22:30
13990,Lincoln,Red,LIGHT,NE,7/19/1999 2:05
13991,Kennewick,GREEN,FIREBALL,WA,7/19/1999 2:30
13992,Durango,Red,LIGHT,CO,7/19/1999 5:00
13993,Kansas City,Red,LIGHT,KS,7/19/1999 11:00
13994,Las Vegas,Red,OVAL,NV,7/19/1999 21:30
13995,Tonasket,Red,LIGHT,WA,7/20/1999 0:00
13996,Myrtle Beach,Red,TRIANGLE,SC,7/20/1999 1:00
13997,Minneapolis,Red,DISK,MN,7/20/1999 3:00
13998,Largo,Red,LIGHT,FL,7/20/1999 23:00
13999,Clarkson,RED,LIGHT,KY,7/21/1999 0:00
14000,Spokane,Red,CIRCLE,WA,7/21/1999 2:00
14001,Fort Lewis,Red,CYLINDER,WA,7/21/1999 23:30
14002,Tulsa,Red,LIGHT,OK,7/22/1999 2:00
14003,Hood River,Red,DIAMOND,OR,7/22/1999 2:15
14004,West Palm Beach,Red,VARIOUS,FL,7/22/1999 19:30
14005,Bay Point,RED,OTHER,CA,7/22/1999 20:00
14006,Owings Mills,RED,LIGHT,MD,7/22/1999 23:59
14007,Wheaton,Red,OTHER,IL,7/23/1999 1:30
14008,Spring Green,Red,LIGHT,WI,7/23/1999 2:00
14009,Thornton,Red,LIGHT,IL,7/23/1999 3:00
14010,Trona,Red,OTHER,CA,7/23/1999 5:30
14011,South China,Red,OTHER,ME,7/23/1999 19:50
14012,Tracy,Red,LIGHT,CA,7/23/1999 20:27
14013,Marietta,Red,CIGAR,OH,7/23/1999 22:30
14014,Modena,Red,CIGAR,NY,7/23/1999 22:30
14015,Cedar City,Red,OTHER,UT,7/23/1999 23:00
14016,Van Horn,Red,DISK,TX,7/23/1999 23:00
14017,Huntingdon Valley,Red,DISK,PA,7/23/1999 23:12
14018,Woodbine,Red,LIGHT,IA,7/23/1999 23:40
14019,Coalinga,Red,TRIANGLE,CA,7/23/1999 23:45
14020,Lancaster County,Red,RECTANGLE,PA,7/24/1999 0:12
14021,Garland,Red,VARIOUS,TX,7/24/1999 0:25
14022,Philadelphia,Red,FLASH,PA,7/24/1999 19:00
14023,Alamosa,Red,DISK,CO,7/24/1999 19:50
14024,Hale,Red,CIRCLE,MO,7/24/1999 21:30
14025,Ashland,Red,LIGHT,OR,7/24/1999 22:20
14026,Boca Raton,Red,DISK,FL,7/25/1999 2:30
14027,Jacksonville,Red,LIGHT,FL,7/25/1999 3:55
14028,Oklahoma City,Red,OTHER,OK,7/25/1999 5:00
14029,Walworth County,Red,OVAL,WI,7/25/1999 11:35
14030,Manitowoc,Red,CIRCLE,WI,7/25/1999 15:00
14031,Seneca,Red,EGG,KS,7/25/1999 19:00
14032,Rocky Mount,Red,TRIANGLE,LA,7/25/1999 20:00
14033,Sandy,Red,TRIANGLE,UT,7/25/1999 20:30
14034,Moses Lake,Red,SPHERE,WA,7/25/1999 20:40
14035,Colorado Springs,ORANGE,LIGHT,CO,7/25/1999 22:00
14036,Cincinnati,Red,FLASH,OH,7/25/1999 22:30
14037,Verhalen,Red,DIAMOND,TX,7/25/1999 22:30
14038,Bricktown,ORANGE,RECTANGLE,NJ,7/26/1999 14:30
14039,Portland,Red,VARIOUS,OR,7/26/1999 16:00
14040,Leeds,Red,SPHERE,AL,7/26/1999 21:00
14041,Vestal,Red,LIGHT,NY,7/26/1999 21:30
14042,Chicago,Red,DISK,IL,7/26/1999 22:00
14043,Spokane,Red,FLASH,WA,7/26/1999 22:00
14044,Shelbyville,RED BLUE,OVAL,TN,7/26/1999 22:30
14045,Monroe,Red,LIGHT,WA,7/26/1999 23:00
14046,Edgewood,Red,LIGHT,WA,7/26/1999 23:15
14047,Macwahoc,ORANGE GREEN,OTHER,ME,7/27/1999 1:30
14048,Palm Springs,Red,TRIANGLE,CA,7/27/1999 2:45
14049,Canon City,Red,FLASH,CO,7/27/1999 5:10
14050,Fort A.P. Hill,Red,OVAL,VA,7/27/1999 19:00
14051,Shoreline,Red,LIGHT,WA,7/27/1999 21:40
14052,Ravenna,Red,DISK,OH,7/27/1999 22:00
14053,The Colony,Red,OVAL,TX,7/27/1999 22:00
14054,Vancouver,BLUE,LIGHT,WA,7/27/1999 23:00
14055,Rogerville,Red,OVAL,TN,7/28/1999 1:00
14056,Winlock,Red,VARIOUS,WA,7/28/1999 1:00
14057,Lebanon,Red,OTHER,OR,7/28/1999 4:30
14058,Dayton,Red,OTHER,OH,7/28/1999 21:30
14059,Bremerton,Red,CIRCLE,WA,7/28/1999 21:33
14060,Ponca City,Red,TRIANGLE,OK,7/28/1999 22:00
14061,Twin Falls,Red,FIREBALL,ID,7/28/1999 22:50
14062,Bellingham,Red,LIGHT,WA,7/28/1999 23:30
14063,Dolgeville,Red,TRIANGLE,NY,7/28/1999 23:30
14064,HighPoint,Red,CYLINDER,NC,7/29/1999 0:00
14065,Redmond,Red,CIRCLE,WA,7/29/1999 2:15
14066,Kankakee,Red,CHEVRON,IL,7/30/1999 14:00
14067,Ballard,GREEN,LIGHT,WA,7/30/1999 22:30
14068,Akeley,Red,TRIANGLE,MN,7/31/1999 0:30
14069,Miami Beach,Red,OVAL,FL,7/31/1999 7:05
14070,Cortez,Red,LIGHT,CO,7/31/1999 21:50
14071,Salt Lake City,ORANGE,DISK,UT,7/31/1999 22:30
14072,Rocky Mount,Red,DISK,VA,8/1/1999 3:45
14073,South Point,Red,EGG,OH,8/1/1999 12:00
14074,San Jose,Red,DISK,CA,8/1/1999 13:00
14075,Tucson,Red,SPHERE,AZ,8/1/1999 13:00
14076,Cleveland,Red,CIGAR,NY,8/1/1999 15:00
14077,Seattle,Red,CIGAR,WA,8/1/1999 15:30
14078,Seattle,Red,CIGAR,WA,8/1/1999 15:31
14079,Seattle,Red,CIGAR,WA,8/1/1999 17:30
14080,The Colony,Red,SPHERE,TX,8/1/1999 17:35
14081,Bear Valley Ski Resort,Red,CIGAR,CA,8/1/1999 18:30
14082,Bethlehem,Red,SPHERE,PA,8/1/1999 20:00
14083,Rialto,Red,LIGHT,CA,8/1/1999 20:00
14084,Boalsburg,RED,LIGHT,PA,8/1/1999 21:00
14085,Redding,Red,LIGHT,CA,8/1/1999 21:10
14086,Seattle,Red,DISK,WA,8/1/1999 21:30
14087,Monterey,Red,OVAL,CA,8/1/1999 22:10
14088,West Kennebunk,Red,SPHERE,ME,8/1/1999 22:30
14089,Ferndale,Red,OTHER,WA,8/1/1999 22:45
14090,Shanty Creek,Red,LIGHT,MI,8/1/1999 23:00
14091,Eugene,Red,OTHER,OR,8/1/1999 23:30
14092,Sausalito,Red,CIRCLE,CA,8/2/1999 0:00
14093,Hollywood,Red,OTHER,CA,8/2/1999 2:00
14094,St. Louis,Red,CIRCLE,MO,8/2/1999 6:10
14095,Federal Way,Red,LIGHT,WA,8/2/1999 18:00
14096,Utica,Red,OVAL,NY,8/2/1999 18:15
14097,Marsden,Red,FLASH,AR,8/2/1999 21:00
14098,Westport,Red,LIGHT,WA,8/2/1999 23:30
14099,Salem,Red,LIGHT,MA,8/3/1999 21:45
14100,Beaverton,Red,DISK,OR,8/3/1999 22:00
14101,Cockeysville,Red,LIGHT,MD,8/3/1999 22:00
14102,Madison,Red,LIGHT,WI,8/3/1999 22:13
14103,Lesage,Red,LIGHT,WV,8/3/1999 23:15
14104,Blue Ridge Summit,Red,LIGHT,PA,8/3/1999 23:20
14105,Camp Ripley,BLUE,FORMATION,MN,8/4/1999 2:50
14106,Rochdale,Red,SPHERE,MA,8/4/1999 3:00
14107,Grants Pass,Red,EGG,OR,8/4/1999 4:00
14108,Rogue River,Red,LIGHT,OR,8/4/1999 21:00
14109,Arcade,Red,FLASH,GA,8/4/1999 22:05
14110,Spokane,Red,TRIANGLE,WA,8/5/1999 1:30
14111,Meridian,Red,LIGHT,ID,8/5/1999 5:15
14112,Cannon Falls,Red,LIGHT,MN,8/5/1999 10:30
14113,Jacksonville,Red,VARIOUS,FL,8/5/1999 17:30
14114,Northfield,Red,EGG,MN,8/5/1999 19:00
14115,Tomah,Red,OTHER,WI,8/5/1999 23:20
14116,Orem,Red,TRIANGLE,UT,8/6/1999 1:30
14117,Grayling,Red,DISK,MI,8/6/1999 2:00
14118,Tooele,Red,LIGHT,UT,8/6/1999 4:00
14119,Newport Beach,Red,DIAMOND,CA,8/6/1999 16:00
14120,Manhattan Beach,Red,OTHER,CA,8/6/1999 20:45
14121,Eureka,ORANGE,CIRCLE,CA,8/6/1999 22:30
14122,Fittstown,Red,LIGHT,OK,8/6/1999 23:00
14123,Titusville,Red,LIGHT,FL,8/7/1999 2:00
14124,Santa Nella,Red,DISK,CA,8/7/1999 3:00
14125,Westminster,Red,DIAMOND,CA,8/7/1999 10:35
14126,New York City,Red,TRIANGLE,NY,8/7/1999 17:00
14127,Pampa,Red,LIGHT,TX,8/7/1999 20:30
14128,Payson,Red,DISK,AZ,8/7/1999 21:00
14129,Prescott Valley,ORANGE,LIGHT,AZ,8/7/1999 23:45
14130,Long Valley,GREEN,DISK,NJ,8/8/1999 10:30
14131,New York City,Red,OVAL,NY,8/8/1999 13:00
14132,New Brighton,Red,CIRCLE,PA,8/8/1999 20:00
14133,Reidsville,Red,TRIANGLE,NC,8/8/1999 22:15
14134,Denver,Red,LIGHT,CO,8/8/1999 22:30
14135,Villa Rica,Red,OTHER,GA,8/9/1999 18:00
14136,Phillipsburg,Red,LIGHT,NJ,8/9/1999 20:00
14137,Yosemite National Park,Red,OTHER,CA,8/9/1999 20:00
14138,Yakima,Red,FIREBALL,WA,8/9/1999 20:18
14139,King of Prussia,Red,CROSS,PA,8/9/1999 22:00
14140,Columbus,Red,FLASH,OH,8/9/1999 22:30
14141,Conway,Red,TRIANGLE,AR,8/10/1999 1:00
14142,Napa,Red,OTHER,CA,8/10/1999 1:00
14143,Gwinnett,ORANGE GREEN BLUE,LIGHT,GA,8/10/1999 2:00
14144,Tillamook,Red,CYLINDER,OR,8/10/1999 2:00
14145,Portland,Red,LIGHT,OR,8/10/1999 11:00
14146,Jericho,Red,LIGHT,VT,8/10/1999 21:00
14147,Denver,Red,OTHER,CO,8/10/1999 22:30
14148,Munising,Red,EGG,MI,8/10/1999 22:30
14149,Westland,Red,LIGHT,MI,8/10/1999 22:30
14150,Sellersburg,Red,LIGHT,IN,8/11/1999 5:25
14151,Ettersburg,Red,RECTANGLE,CA,8/11/1999 16:00
14152,Hwy. 90,Red,TRIANGLE,SD,8/11/1999 17:30
14153,Cortez,Red,LIGHT,CO,8/11/1999 21:45
14154,Ketchikan,Red,CIRCLE,AK,8/11/1999 23:07
14155,Gold Canyon,Red,FORMATION,AZ,8/12/1999 2:30
14156,Long Beach,ORANGE,DISK,CA,8/12/1999 3:25
14157,Herminie,ORANGE,FORMATION,PA,8/12/1999 3:30
14158,Highlands Ranch,Red,FORMATION,CO,8/12/1999 3:30
14159,North Wilkesboro,Red,TRIANGLE,NC,8/12/1999 3:30
14160,Apex,Red,TRIANGLE,NC,8/12/1999 3:58
14161,Fort Wayne,Red,TEARDROP,IN,8/12/1999 9:30
14162,Flagstaff,ORANGE,LIGHT,AZ,8/12/1999 10:00
14163,Chesapeake Bay,Red,DISK,MD,8/12/1999 16:00
14164,Elizibethtown,Red,CIRCLE,IL,8/12/1999 21:00
14165,Marietta,Red,FIREBALL,OH,8/12/1999 21:00
14166,Fresno,Red,LIGHT,CA,8/12/1999 21:25
14167,Milwaukee,Red,TEARDROP,WI,8/12/1999 22:00
14168,Myrtle Creek,Red,CIRCLE,OR,8/12/1999 22:00
14169,North South Padre Island,Red,LIGHT,TX,8/12/1999 22:00
14170,Bloominggrove,Red,LIGHT,NY,8/12/1999 22:30
14171,Strausburg,Red,TRIANGLE,OH,8/12/1999 23:00
14172,Woodland,Red,LIGHT,CA,8/12/1999 23:30
14173,Put-in Bay,Red,SPHERE,OH,8/12/1999 23:45
14174,Winchester,Red,LIGHT,VA,8/13/1999 0:00
14175,Westby,Red,TRIANGLE,WI,8/13/1999 3:58
14176,Casa Grande,Red,TRIANGLE,AZ,8/13/1999 11:00
14177,Mesa,GREEN,OTHER,DE,8/13/1999 20:46
14178,Cheyenne,RED ORANGE,TRIANGLE,WY,8/13/1999 21:50
14179,Monticello,GREEN,FIREBALL,IA,8/13/1999 22:15
14180,Casa Grande,Red,TRIANGLE,AZ,8/13/1999 23:00
14181,Vancouver,GREEN,CIRCLE,WA,8/13/1999 23:00
14182,Vancouver,GREEN,OVAL,WA,8/13/1999 23:00
14183,Paw Paw,Red,LIGHT,IL,8/13/1999 23:30
14184,Salt Lake City,Red,TRIANGLE,UT,8/14/1999 3:46
14185,Turnagain Pass,Red,FLASH,AK,8/14/1999 4:00
14186,Columbus,Red,CIRCLE,OH,8/14/1999 12:00
14187,Peoria,Red,OTHER,IL,8/14/1999 12:00
14188,Destin,Red,TRIANGLE,FL,8/14/1999 19:30
14189,Milwaukee,Red,LIGHT,WI,8/14/1999 20:50
14190,Richland,Red,LIGHT,WA,8/14/1999 22:00
14191,Fort Worth,Red,CIRCLE,TX,8/14/1999 22:07
14192,Fort Worth,Red,CIRCLE,TX,8/14/1999 22:07
14193,East Lynne,Red,DISK,MO,8/14/1999 22:30
14194,Grandville,YELLOW,LIGHT,MI,8/14/1999 23:00
14195,Trout Lake,ORANGE,LIGHT,WA,8/14/1999 23:00
14196,Plano,Red,LIGHT,TX,8/15/1999 0:00
14197,Parkersburg,Red,CYLINDER,WV,8/15/1999 1:00
14198,Talco,Red,LIGHT,TX,8/15/1999 2:00
14199,Boulder,Red,OTHER,CO,8/15/1999 13:00
14200,Seattle,Red,LIGHT,WA,8/15/1999 13:00
14201,Valparaiso,Red,DISK,IN,8/15/1999 13:00
14202,Lake Saint Louis,Red,DIAMOND,MO,8/15/1999 13:30
14203,Greencreek,Red,CIGAR,ID,8/15/1999 14:00
14204,Eleanor,Red,CIGAR,WV,8/15/1999 16:00
14205,Lancaster,RED,FIREBALL,CA,8/15/1999 16:30
14206,Boulder,Red,LIGHT,CO,8/15/1999 17:30
14207,McCrory,Red,TRIANGLE,AR,8/15/1999 18:00
14208,Vancouver,Red,LIGHT,WA,8/15/1999 18:50
14209,Glendale,Red,FORMATION,CA,8/15/1999 19:15
14210,Bath,Red,VARIOUS,ME,8/15/1999 20:30
14211,Gila Bend,ORANGE,FIREBALL,AZ,8/15/1999 20:30
14212,Fayetteville,Red,LIGHT,NC,8/15/1999 21:00
14213,Gaylesville,GREEN,LIGHT,AL,8/15/1999 21:00
14214,Hobe Sound,Red,CIRCLE,FL,8/15/1999 21:00
14215,Huntington Beach,Red,CIRCLE,CA,8/15/1999 21:45
14216,Little Falls,Red,LIGHT,MN,8/15/1999 22:00
14217,Matteson,Red,LIGHT,IL,8/15/1999 22:00
14218,Sedona,Red,FLASH,AZ,8/15/1999 22:22
14219,Maury Island,Red,LIGHT,WA,8/15/1999 22:23
14220,Jenks,Red,LIGHT,OK,8/15/1999 22:30
14221,Lake Powell,ORANGE,FIREBALL,UT,8/15/1999 22:30
14222,Los Lunas,Red,LIGHT,NM,8/15/1999 22:30
14223,Socorro,Red,OTHER,NM,8/15/1999 22:30
14224,Eureka,Red,FLASH,IL,8/15/1999 22:45
14225,East Northport,ORANGE,FIREBALL,NY,8/15/1999 22:55
14226,Montauk,Red,CIRCLE,NY,8/15/1999 23:00
14227,Rio Rancho,Red,OTHER,NM,8/15/1999 23:00
14228,Salem,Red,OTHER,OR,8/15/1999 23:00
14229,Spokane,Red,LIGHT,WA,8/15/1999 23:00
14230,Jemez Springs,Red,LIGHT,NM,8/15/1999 23:10
14231,Albany,Red,SPHERE,OR,8/15/1999 23:11
14232,Dinosaur,BLUE,LIGHT,CO,8/15/1999 23:15
14233,See Report...,Red,LIGHT,CO,8/15/1999 23:15
14234,Albuquerque,Red,LIGHT,NM,8/15/1999 23:18
14235,Aztec,Red,LIGHT,NM,8/15/1999 23:18
14236,Bosque,Red,LIGHT,NM,8/15/1999 23:18
14237,Denver,Red,FIREBALL,CO,8/15/1999 23:18
14238,Gallup,BLUE,LIGHT,NM,8/15/1999 23:18
14239,Las Cruces,Red,FIREBALL,NM,8/15/1999 23:18
14240,Rawlins,Red,FIREBALL,WY,8/15/1999 23:18
14241,Tularosa,Red,FLASH,NM,8/15/1999 23:18
14242,Salem,Red,OTHER,UT,8/15/1999 23:50
14243,Janesville,Red,FLASH,WI,8/16/1999 1:45
14244,Trapper Creek,Red,OVAL,AK,8/16/1999 2:45
14245,Toledo,Red,LIGHT,OH,8/16/1999 4:00
14246,Woonsocket,Red,LIGHT,RI,8/16/1999 8:30
14247,Langhorne,Red,OTHER,PA,8/16/1999 21:30
14248,Navarre Beach,RED,FIREBALL,FL,8/16/1999 22:40
14249,Bentonville,ORANGE,FIREBALL,IN,8/16/1999 22:45
14250,Grand Marais,Red,SPHERE,MN,8/16/1999 23:00
14251,Merritt Island Wildlife Refuge,Red,FIREBALL,FL,8/17/1999 2:30
14252,Moses Lake,BLUE,VARIOUS,WA,8/17/1999 3:15
14253,Portland,Red,OTHER,OR,8/17/1999 5:50
14254,Las Vegas,Red,DISK,NV,8/17/1999 16:00
14255,Phoenix,Red,DIAMOND,AZ,8/17/1999 19:30
14256,Fairfield,Red,OTHER,CA,8/17/1999 21:00
14257,Westfield,GREEN,CIRCLE,NJ,8/17/1999 21:00
14258,Grand Rapids,RED,LIGHT,MI,8/17/1999 22:57
14259,Marmora,Red,LIGHT,NJ,8/17/1999 23:34
14260,Holden,Red,CIRCLE,MO,8/18/1999 0:10
14261,Tollison,BLUE,FIREBALL,AZ,8/18/1999 1:30
14262,Sun Cove,Red,TRIANGLE,WA,8/18/1999 3:14
14263,Grove City,Red,OVAL,OH,8/18/1999 21:10
14264,Center,Red,FIREBALL,TX,8/19/1999 4:00
14265,Columbia,Red,SPHERE,MO,8/19/1999 11:30
14266,Wilmington,Red,TRIANGLE,NC,8/19/1999 15:45
14267,LaVergne,Red,SPHERE,TN,8/19/1999 19:45
14268,Great Falls,Red,OVAL,MT,8/19/1999 20:00
14269,Tukwila,Red,SPHERE,WA,8/19/1999 21:15
